,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
945,26,194,11,744,347
946,23,198,12,36,14
947,25,97,11,216,204
948,47,217,12,1488,1781
949,36,160,12,24,8
950,50,217,12,27216,23484
952,10,191,10,0,118
953,17,164,11,22536,6614
954,51,213,11,0,162
955,13,17,12,10152,9155
956,18,103,11,2592,994
958,23,136,12,108,108
959,80,136,12,792,327
960,39,57,10,216,209
962,31,136,11,400,0
965,3,89,12,40,0
966,17,154,10,13356,17465
967,5,116,12,0,2
968,33,134,10,144,0
969,82,3,11,0,1538
971,17,106,10,10116,11640
972,62,7,11,2898,1791
973,51,189,12,0,2425
974,58,171,11,9408,13980
975,27,193,10,144,160
976,27,13,12,72,36
977,15,213,12,1404,1234
978,36,60,11,24,8
979,16,99,11,2124,727
980,33,6,10,9180,7971
981,45,95,12,864,898
982,25,204,11,324,376
984,50,74,12,54192,26307
985,57,3,12,0,36
986,16,67,11,0,5
987,28,183,10,12,0
989,54,105,12,24,8
990,62,217,11,3780,2221
991,62,157,11,0,19
992,16,83,11,3096,4967
993,58,62,11,10752,8964
994,10,9,11,0,55
995,32,31,12,288,144
996,11,41,12,468,473
997,48,56,11,48,0
998,38,37,10,828,700
999,18,146,11,1188,425
1000,50,87,11,88176,98259
1001,12,3,12,0,12
1003,58,16,11,3360,6305
1004,37,3,11,180,120
1005,82,105,12,8190,8774
1006,31,94,12,139200,190000
1007,19,144,10,3528,3455
1008,16,180,10,0,3072
1010,59,164,12,1932,1404
1012,32,113,12,720,315
1013,80,10,11,384,379
1014,19,214,11,504,378
1015,51,188,12,0,1282
1016,81,60,12,192,739
1017,25,133,12,0,6
1018,80,52,11,912,251
1019,56,13,11,360,201
1020,31,192,12,1600,3220
1021,45,148,11,2928,884
1022,19,33,10,2352,3345
1023,39,174,11,396,177
1024,14,3,10,83268,94878
1025,37,123,12,252,359
1027,47,129,10,1704,1457
1028,37,71,12,0,1
1029,3,54,12,40,0
1030,51,123,12,0,3132
1031,35,160,12,2784,2397
1032,11,212,11,72,66
1033,26,41,11,168,123
1034,38,63,11,0,12
1036,35,150,12,5280,4176
1039,84,92,12,0,82
1041,38,45,11,36,23
1042,50,177,11,0,397
1044,43,5,12,0,5590
1045,15,156,10,2184,1773
1046,80,210,11,432,262
1047,25,30,10,324,423
1049,57,210,11,0,59
1050,11,213,11,72,54
1051,48,92,10,0,961
1052,5,204,10,160,149
1053,51,67,11,0,12
1054,25,178,10,504,695
1055,14,216,12,12924,14869
1056,39,104,10,252,274
1057,27,186,10,108,120
1058,62,57,10,2142,1404
1060,59,188,11,0,866
1061,5,47,12,400,220
1062,62,196,11,3612,1910
1063,23,83,11,144,137
1064,3,121,10,40,12
1065,37,194,12,108,102
1066,19,125,11,11424,13020
1067,10,140,12,0,56
1068,10,2,12,0,6
1069,52,109,10,400,0
1070,58,192,10,11592,16105
1071,86,90,12,0,837
1072,19,108,10,840,1410
1073,26,217,10,96,15
1074,32,97,12,24,0
1075,27,161,10,216,187
1076,17,43,10,24660,27761
1078,82,25,12,0,3168
1079,42,82,10,180,226
1080,8,124,11,0,12
1081,61,95,10,4494,23750
1082,38,13,10,180,157
1083,9,109,10,0,12
1084,62,1,10,8820,4195
1085,45,60,12,3504,774
1086,47,85,10,1128,973
1087,36,174,12,72,45
1088,21,127,11,132,168
1089,14,108,12,12492,11111
1090,16,166,11,3564,4405
1091,26,39,12,36,17
1092,14,195,11,432,399
1093,25,32,10,468,405
1094,47,144,11,720,569
1095,26,192,10,72,69
1096,58,9,12,15288,16630
1097,82,36,11,0,1278
1098,32,56,11,36,39
1099,54,7,11,24,0
1100,14,116,11,0,105
1104,35,152,10,8160,10523
1106,21,58,12,360,438
1107,25,45,12,216,265
1108,3,128,12,80,0
1112,13,12,10,3024,4011
1113,27,6,12,216,138
1114,4,114,11,40,0
1115,56,131,11,324,139
1116,17,159,12,8748,0
1117,22,10,11,19600,0
1118,61,130,11,3024,1511
1119,17,19,10,13284,16235
1120,36,216,10,24,14
1121,10,37,11,0,18
1122,19,187,10,0,1344
1123,16,190,12,684,2455
1124,28,104,10,18,24
1126,25,197,11,3528,2832
1127,10,196,10,0,20
1128,50,185,10,21120,21289
1130,81,36,10,360,298
1131,17,140,11,11412,2957
1132,26,114,10,24,3
1133,3,199,12,0,1670
1134,19,28,12,0,378
1137,39,33,10,468,193
1138,76,14,10,0,424
1139,42,43,12,108,162
1140,81,13,10,192,98
1141,37,197,10,72,36
1142,8,124,12,0,12
1143,50,65,11,0,149
1145,80,24,11,0,65
1146,59,168,12,756,1301
1147,42,7,12,108,136
1149,15,103,12,5100,6097
1150,73,105,10,0,3
1151,59,103,12,420,400
1153,42,105,11,108,185
1154,22,6,10,8000,479
1155,13,144,10,1332,1228
1156,27,57,11,36,79
1157,50,26,11,0,1107
1158,3,15,11,0,3
1159,83,53,12,0,4145
1160,27,182,11,72,86
1161,26,83,10,336,77
1162,19,86,11,11424,15468
1163,43,196,12,0,17060
1164,5,41,12,80,42
1166,58,92,12,8400,10801
1167,11,208,10,216,222
1168,19,8,12,1008,900
1169,39,15,11,360,303
1170,76,184,10,0,728
1171,42,39,11,108,84
1173,37,124,10,396,374
1174,50,162,12,17376,14156
1176,37,45,10,36,14
1177,31,90,10,6800,400
1178,22,33,12,2400,7240
1179,19,132,11,3192,3108
1180,45,94,11,1344,811
1181,17,163,10,31572,32565
1182,75,139,11,0,6
1183,54,186,11,24,0
1184,76,213,10,0,124
1185,3,68,10,40,0
1186,58,58,10,5544,5991
1188,47,122,10,1272,913
1190,11,192,10,72,164
1192,42,52,12,36,35
1194,16,197,10,0,2510
1195,14,182,10,23184,22367
1196,43,137,11,0,179
1197,80,17,10,1128,827
1198,33,103,12,13608,14991
1199,10,83,10,0,48
1201,27,79,12,72,42
1202,43,177,11,0,163
1203,50,100,11,32208,33273
1204,62,16,10,3318,1980
1205,82,129,11,0,4302
1206,38,159,11,144,132
1207,45,215,12,0,428
